student_id,first_name,age,gpa,favorite_pet,voted,birthdate
2423,Joshua,115,3.3,dug,1,8-30-1910
3288,Ava,109,2.1,dog,1,2-15-1916
3977,Mohammed,107,2.6,snake,1,2-11-1918
3532,Olivia,89,4,dog,1,11-2-1936
1166,Duane,88,3,parrot,0,9-10-1937
1243,Amy,22,3.9,cat,1,4-3-2003
2571,Megan,22,3.8,cqt,1,11-3-2003
1541,Susan,22,2.3,cat,0,1-9-2003
4731,Wei,22,3.7,dog,1,12-13-2003
4477,Wei,22,2.5,cat,1,10-31-2003
1530,George,22,2.2,dog,0,3-30-2003
4822,Carlos,22,2.1,dog,0,11-3-2003
2573,Michelle,22,2.1,goldfish,1,4-7-2003
4580,Fatima,22,3.9,dog,0,8-28-2003
4296,Ivan,22,2.7,rabbit,1,3-18-2003
1690,Mariah,22,3.1,dog,1,12-23-2003
3805,Fatima,22,2.8,cat,1,5-12-2003
151,Billy,22,2.2,cat,1,4-9-2003
1021,Catherine,22,3,cat,0,8-18-2003
1510,Krystal,22,2.9,goldfish,1,8-4-2003
1931,Hannah,22,3.5,parrot,1,3-21-2003
4336,Fatima,22,3.4,parrot,1,9-3-2003
2489,Walter,22,3.1,cat,1,7-24-2003
3143,Wei,22,3.3,cat,1,4-8-2003
1246,Sierra,22,3.5,hamster,1,5-1-2003
836,Ryan,22,3.6,dog,1,9-4-2003
2741,Diamond,22,2.8,dog,1,9-11-2003
1268,Susan,22,3.1,cat,1,7-13-2003
2275,Jody,22,3.4,cat,1,7-18-2003
205,Mitchell,22,3.2,cat,1,8-20-2003
933,Misty,22,3.4,snake,1,6-6-2003
1245,Danielle,22,2.6,dog,0,4-3-2003
4253,Wei,22,3.4,snake,1,1-26-2003
4304,Mohammed,22,3.4,dog,0,4-16-2003
4768,Carlos,22,3,dog,1,6-12-2003
449,Darryl,22,,dog,1,5-9-2003
2300,Barry,22,2.7,cat,1,4-6-2003
5167,Olivia,22,3.7,dog,0,12-5-2003
3429,Raj,22,,dog,0,5-2-2003
1355,Cheyenne,22,,hamster,0,2-12-2003
3258,Ivan,22,3.8,cat,1,7-18-2003
3724,Ava,22,3.2,cat,1,10-16-2003
1904,Joyce,22,3.1,dog,1,6-4-2003
2051,Erik,22,2,dog,1,10-18-2003
4372,Raj,22,2.1,cat,1,9-23-2003
4662,Ivan,22,2.9,dog,1,1-23-2003
445,Andre,22,,cat,0,8-10-2003
8,Fatima,22,,cat,0,4-23-2003
4664,Olivia,22,3.4,cat,1,2-19-2003
240,Charlene,22,2.8,parrot,1,8-14-2003
4405,Olivia,22,3.9,goldfish,0,5-15-2003
3409,Fatima,22,,dog,0,1-10-2003
3243,Aisha,22,2.7,rabbit,0,12-17-2003
1748,Kelli,22,2.7,rabbit,1,9-5-2003
2558,Marissa,22,2.1,hamster,1,10-1-2003
2282,Carolyn,22,3.1,cat,1,9-24-2003
4919,Raj,22,3.4,parrot,0,5-31-2003
2241,Jorge,22,2.9,cat,0,6-8-2003
625,Caitlyn,22,,snake,1,12-21-2003
2824,Kathleen,22,3.4,snake,0,8-28-2003
4332,Olivia,22,3.8,cat,0,6-16-2003
3543,Isabella,22,2.4,cat,0,8-12-2003
2339,Hayley,22,3.4,cat,1,3-7-2003
4393,Wei,22,2.9,hamster,0,8-28-2003
397,Pedro,22,,cat,1,11-19-2003
3994,Mohammed,22,2.1,goldfish,0,6-6-2003
4392,Mohammed,22,2.9,dog,1,10-20-2003
506,Charlene,22,,dog,1,5-14-2003
1333,Alejandra,22,3.7,parrot,1,7-21-2003
3671,Olivia,22,3.4,rabbit,0,10-3-2003
4707,Ava,22,3.2,cat,1,11-26-2003
485,Erika,22,,rabbit,1,2-21-2003
19,Samuel,22,2.4,dog,0,3-19-2003
3266,Aisha,22,2.6,dog,0,2-13-2003
507,Jeremiah,22,,goldfish,0,7-25-2003
101,Gabriella,22,3.3,goldfish,0,4-9-2003
3439,Olivia,22,3.7,goldfish,1,11-6-2003
1782,Henry,22,2.9,cat,0,10-11-2003
4570,Wei,22,2.1,cat,1,9-30-2003
61,Grant,22,3.6,dogs,1,3-2-2003
3645,Mohammed,22,3.7,cat,0,3-14-2003
1331,Erik,22,2.1,goldfish,0,2-27-2003
4150,Wei,22,3.5,dog,0,7-16-2003
